firstname,id,motivation,share,surname,year,gender,prize
William Alfred,123,"""for his theoretical and experimental studies of the nuclear reactions of importance in the formation of the chemical elements in the universe""",2,Fowler,1983,male,physics
Kenneth G.,121,"""for his theory for critical phenomena in connection with phase transitions""",1,Wilson,1982,male,physics
Nicolaas,118,"""for their contribution to the development of laser spectroscopy""",4,Bloembergen,1981,male,physics
Arthur Leonard,119,"""for their contribution to the development of laser spectroscopy""",4,Schawlow,1981,male,physics
Kai M.,120,"""for his contribution to the development of high-resolution electron spectroscopy""",2,Siegbahn,1981,male,physics
James Watson,116,"""for the discovery of violations of fundamental symmetry principles in the decay of neutral K-mesons""",2,Cronin,1980,male,physics
Val Logsdon,117,"""for the discovery of violations of fundamental symmetry principles in the decay of neutral K-mesons""",2,Fitch,1980,male,physics
Sheldon Lee,113,"""for their contributions to the theory of the unified weak and electromagnetic interaction between elementary particles, including, inter alia, the prediction of the weak neutral current""",3,Glashow,1979,male,physics
Abdus,114,"""for their contributions to the theory of the unified weak and electromagnetic interaction between elementary particles, including, inter alia, the prediction of the weak neutral current""",3,Salam,1979,male,physics
Steven,115,"""for their contributions to the theory of the unified weak and electromagnetic interaction between elementary particles, including, inter alia, the prediction of the weak neutral current""",3,Weinberg,1979,male,physics
Pyotr Leonidovich,110,"""for his basic inventions and discoveries in the area of low-temperature physics""",2,Kapitsa,1978,male,physics
Arno Allan,111,"""for their discovery of cosmic microwave background radiation""",4,Penzias,1978,male,physics
Robert Woodrow,112,"""for their discovery of cosmic microwave background radiation""",4,Wilson,1978,male,physics
Philip Warren,107,"""for their fundamental theoretical investigations of the electronic structure of magnetic and disordered systems""",3,Anderson,1977,male,physics
Sir Nevill Francis,108,"""for their fundamental theoretical investigations of the electronic structure of magnetic and disordered systems""",3,Mott,1977,male,physics
John Hasbrouck,109,"""for their fundamental theoretical investigations of the electronic structure of magnetic and disordered systems""",3,van Vleck,1977,male,physics
Burton,105,"""for their pioneering work in the discovery of a heavy elementary particle of a new kind""",2,Richter,1976,male,physics
Samuel Chao Chung,106,"""for their pioneering work in the discovery of a heavy elementary particle of a new kind""",2,Ting,1976,male,physics
Aage Niels,102,"""for the discovery of the connection between collective motion and particle motion in atomic nuclei and the development of the theory of the structure of the atomic nucleus based on this connection""",3,Bohr,1975,male,physics
Ben Roy,103,"""for the discovery of the connection between collective motion and particle motion in atomic nuclei and the development of the theory of the structure of the atomic nucleus based on this connection""",3,Mottelson,1975,male,physics
Leo James,104,"""for the discovery of the connection between collective motion and particle motion in atomic nuclei and the development of the theory of the structure of the atomic nucleus based on this connection""",3,Rainwater,1975,male,physics
Sir Martin,100,"""for their pioneering research in radio astrophysics: Ryle for his observations and inventions, in particular of the aperture synthesis technique, and Hewish for his decisive role in the discovery of pulsars""",2,Ryle,1974,male,physics
Antony,101,"""for their pioneering research in radio astrophysics: Ryle for his observations and inventions, in particular of the aperture synthesis technique, and Hewish for his decisive role in the discovery of pulsars""",2,Hewish,1974,male,physics
Leo,97,"""for their experimental discoveries regarding tunneling phenomena in semiconductors and superconductors, respectively""",4,Esaki,1973,male,physics
Ivar,98,"""for their experimental discoveries regarding tunneling phenomena in semiconductors and superconductors, respectively""",4,Giaever,1973,male,physics
Brian David,99,"""for his theoretical predictions of the properties of a supercurrent through a tunnel barrier, in particular those phenomena which are generally known as the Josephson effects""",2,Josephson,1973,male,physics
John,66,"""for their jointly developed theory of superconductivity, usually called the BCS-theory""",3,Bardeen,1972,male,physics
Leon Neil,95,"""for their jointly developed theory of superconductivity, usually called the BCS-theory""",3,Cooper,1972,male,physics
John Robert,96,"""for their jointly developed theory of superconductivity, usually called the BCS-theory""",3,Schrieffer,1972,male,physics
Dennis,93,"""for his invention and development of the holographic method""",1,Gabor,1971,male,physics
Hannes Olof Gösta,91,"""for fundamental work and discoveries in magnetohydro-dynamics with fruitful applications in different parts of plasma physics""",2,Alfvén,1970,male,physics
Louis Eugène Félix,92,"""for fundamental work and discoveries concerning antiferromagnetism and ferrimagnetism which have led to important applications in solid state physics""",2,Néel,1970,male,physics
Murray,90,"""for his contributions and discoveries concerning the classification of elementary particles and their interactions""",1,Gell-Mann,1969,male,physics
Luis Walter,89,"""for his decisive contributions to elementary particle physics, in particular the discovery of a large number of resonance states, made possible through his development of the technique of using hydrogen bubble chamber and data analysis""",1,Alvarez,1968,male,physics
Hans Albrecht,88,"""for his contributions to the theory of nuclear reactions, especially his discoveries concerning the energy production in stars""",1,Bethe,1967,male,physics
Alfred,87,"""for the discovery and development of optical methods for studying Hertzian resonances in atoms""",1,Kastler,1966,male,physics
Sin-Itiro,84,"""for their fundamental work in quantum electrodynamics, with deep-ploughing consequences for the physics of elementary particles""",3,Tomonaga,1965,male,physics
Julian,85,"""for their fundamental work in quantum electrodynamics, with deep-ploughing consequences for the physics of elementary particles""",3,Schwinger,1965,male,physics
Richard P.,86,"""for their fundamental work in quantum electrodynamics, with deep-ploughing consequences for the physics of elementary particles""",3,Feynman,1965,male,physics
Charles Hard,81,"""for fundamental work in the field of quantum electronics, which has led to the construction of oscillators and amplifiers based on the maser-laser principle""",2,Townes,1964,male,physics
Nicolay Gennadiyevich,82,"""for fundamental work in the field of quantum electronics, which has led to the construction of oscillators and amplifiers based on the maser-laser principle""",4,Basov,1964,male,physics
Aleksandr Mikhailovich,83,"""for fundamental work in the field of quantum electronics, which has led to the construction of oscillators and amplifiers based on the maser-laser principle""",4,Prokhorov,1964,male,physics
Eugene Paul,78,"""for his contributions to the theory of the atomic nucleus and the elementary particles, particularly through the discovery and application of fundamental symmetry principles""",2,Wigner,1963,male,physics
Maria,79,"""for their discoveries concerning nuclear shell structure""",4,Goeppert Mayer,1963,female,physics
J. Hans D.,80,"""for their discoveries concerning nuclear shell structure""",4,Jensen,1963,male,physics
Lev Davidovich,77,"""for his pioneering theories for condensed matter, especially liquid helium""",1,Landau,1962,male,physics
Robert,75,"""for his pioneering studies of electron scattering in atomic nuclei and for his thereby achieved discoveries concerning the structure of the nucleons""",2,Hofstadter,1961,male,physics
Rudolf Ludwig,76,"""for his researches concerning the resonance absorption of gamma radiation and his discovery in this connection of the effect which bears his name""",2,Mössbauer,1961,male,physics
Donald Arthur,74,"""for the invention of the bubble chamber""",1,Glaser,1960,male,physics
Emilio Gino,72,"""for their discovery of the antiproton""",2,Segrè,1959,male,physics
Owen,73,"""for their discovery of the antiproton""",2,Chamberlain,1959,male,physics
Pavel Alekseyevich,70,"""for the discovery and the interpretation of the Cherenkov effect""",3,Cherenkov,1958,male,physics
Il´ja Mikhailovich,721,"""for the discovery and the interpretation of the Cherenkov effect""",3,Frank,1958,male,physics
Igor Yevgenyevich,71,"""for the discovery and the interpretation of the Cherenkov effect""",3,Tamm,1958,male,physics
Chen Ning,68,"""for their penetrating investigation of the so-called parity laws which has led to important discoveries regarding the elementary particles""",2,Yang,1957,male,physics
Tsung-Dao (T.D.),69,"""for their penetrating investigation of the so-called parity laws which has led to important discoveries regarding the elementary particles""",2,Lee,1957,male,physics
William Bradford,65,"""for their researches on semiconductors and their discovery of the transistor effect""",3,Shockley,1956,male,physics
John,66,"""for their researches on semiconductors and their discovery of the transistor effect""",3,Bardeen,1956,male,physics
Walter Houser,67,"""for their researches on semiconductors and their discovery of the transistor effect""",3,Brattain,1956,male,physics
Willis Eugene,63,"""for his discoveries concerning the fine structure of the hydrogen spectrum""",2,Lamb,1955,male,physics
Polykarp,64,"""for his precision determination of the magnetic moment of the electron""",2,Kusch,1955,male,physics
Max,61,"""for his fundamental research in quantum mechanics, especially for his statistical interpretation of the wavefunction""",2,Born,1954,male,physics
Walther,62,"""for the coincidence method and his discoveries made therewith""",2,Bothe,1954,male,physics
Frits,60,"""for his demonstration of the phase contrast method, especially for his invention of the phase contrast microscope""",1,Zernike,1953,male,physics
Felix,58,"""for their development of new methods for nuclear magnetic precision measurements and discoveries in connection therewith""",2,Bloch,1952,male,physics
Edward Mills,59,"""for their development of new methods for nuclear magnetic precision measurements and discoveries in connection therewith""",2,Purcell,1952,male,physics
Sir John Douglas,56,"""for their pioneer work on the transmutation of atomic nuclei by artificially accelerated atomic particles""",2,Cockcroft,1951,male,physics
Ernest Thomas Sinton,57,"""for their pioneer work on the transmutation of atomic nuclei by artificially accelerated atomic particles""",2,Walton,1951,male,physics
Cecil Frank,55,"""for his development of the photographic method of studying nuclear processes and his discoveries regarding mesons made with this method""",1,Powell,1950,male,physics
Hideki,54,"""for his prediction of the existence of mesons on the basis of theoretical work on nuclear forces""",1,Yukawa,1949,male,physics
Patrick Maynard Stuart,53,"""for his development of the Wilson cloud chamber method, and his discoveries therewith in the fields of nuclear physics and cosmic radiation""",1,Blackett,1948,male,physics
Sir Edward Victor,52,"""for his investigations of the physics of the upper atmosphere especially for the discovery of the so-called Appleton layer""",1,Appleton,1947,male,physics
Percy Williams,51,"""for the invention of an apparatus to produce extremely high pressures, and for the discoveries he made therewith in the field of high pressure physics""",1,Bridgman,1946,male,physics
Wolfgang,50,"""for the discovery of the Exclusion Principle, also called the Pauli Principle""",1,Pauli,1945,male,physics
Isidor Isaac,49,"""for his resonance method for recording the magnetic properties of atomic nuclei""",1,Rabi,1944,male,physics
Otto,48,"""for his contribution to the development of the molecular ray method and his discovery of the magnetic moment of the proton""",1,Stern,1943,male,physics
Ernest Orlando,47,"""for the invention and development of the cyclotron and for results obtained with it, especially with regard to artificial radioactive elements""",1,Lawrence,1939,male,physics
Enrico,46,"""for his demonstrations of the existence of new radioactive elements produced by neutron irradiation, and for his related discovery of nuclear reactions brought about by slow neutrons""",1,Fermi,1938,male,physics
Clinton Joseph,44,"""for their experimental discovery of the diffraction of electrons by crystals""",2,Davisson,1937,male,physics
George Paget,45,"""for their experimental discovery of the diffraction of electrons by crystals""",2,Thomson,1937,male,physics
Victor Franz,42,"""for his discovery of cosmic radiation""",2,Hess,1936,male,physics
Carl David,43,"""for his discovery of the positron""",2,Anderson,1936,male,physics
James,41,"""for the discovery of the neutron""",1,Chadwick,1935,male,physics
Erwin,39,"""for the discovery of new productive forms of atomic theory""",2,Schrödinger,1933,male,physics
Paul Adrien Maurice,40,"""for the discovery of new productive forms of atomic theory""",2,Dirac,1933,male,physics
Werner Karl,38,"""for the creation of quantum mechanics, the application of which has, inter alia, led to the discovery of the allotropic forms of hydrogen""",1,Heisenberg,1932,male,physics
Sir Chandrasekhara Venkata,37,"""for his work on the scattering of light and for the discovery of the effect named after him""",1,Raman,1930,male,physics
Prince Louis-Victor Pierre Raymond,36,"""for his discovery of the wave nature of electrons""",1,de Broglie,1929,male,physics
Owen Willans,35,"""for his work on the thermionic phenomenon and especially for the discovery of the law named after him""",1,Richardson,1928,male,physics
Arthur Holly,33,"""for his discovery of the effect named after him""",2,Compton,1927,male,physics
Charles Thomson Rees,34,"""for his method of making the paths of electrically charged particles visible by condensation of vapour""",2,Wilson,1927,male,physics
Jean Baptiste,32,"""for his work on the discontinuous structure of matter, and especially for his discovery of sedimentation equilibrium""",1,Perrin,1926,male,physics
James,30,"""for their discovery of the laws governing the impact of an electron upon an atom""",2,Franck,1925,male,physics
Gustav Ludwig,31,"""for their discovery of the laws governing the impact of an electron upon an atom""",2,Hertz,1925,male,physics
Karl Manne Georg,29,"""for his discoveries and research in the field of X-ray spectroscopy""",1,Siegbahn,1924,male,physics
Robert Andrews,28,"""for his work on the elementary charge of electricity and on the photoelectric effect""",1,Millikan,1923,male,physics
Niels Henrik David,27,"""for his services in the investigation of the structure of atoms and of the radiation emanating from them""",1,Bohr,1922,male,physics
Albert,26,"""for his services to Theoretical Physics, and especially for his discovery of the law of the photoelectric effect""",1,Einstein,1921,male,physics
Charles Edouard,25,"""in recognition of the service he has rendered to precision measurements in Physics by his discovery of anomalies in nickel steel alloys""",1,Guillaume,1920,male,physics
Johannes,24,"""for his discovery of the Doppler effect in canal rays and the splitting of spectral lines in electric fields""",1,Stark,1919,male,physics
Max Karl Ernst Ludwig,23,"""in recognition of the services he rendered to the advancement of Physics by his discovery of energy quanta""",1,Planck,1918,male,physics
Charles Glover,22,"""for his discovery of the characteristic R&ouml;ntgen radiation of the elements""",1,Barkla,1917,male,physics
Sir William Henry,20,"""for their services in the analysis of crystal structure by means of X-rays""",2,Bragg,1915,male,physics
William Lawrence,21,"""for their services in the analysis of crystal structure by means of X-rays""",2,Bragg,1915,male,physics
Max,19,"""for his discovery of the diffraction of X-rays by crystals""",1,von Laue,1914,male,physics
Heike,18,"""for his investigations on the properties of matter at low temperatures which led, inter alia, to the production of liquid helium""",1,Kamerlingh Onnes,1913,male,physics
Nils Gustaf,17,"""for his invention of automatic regulators for use in conjunction with gas accumulators for illuminating lighthouses and buoys""",1,Dalén,1912,male,physics
Wilhelm,16,"""for his discoveries regarding the laws governing the radiation of heat""",1,Wien,1911,male,physics
Johannes Diderik,15,"""for his work on the equation of state for gases and liquids""",1,van der Waals,1910,male,physics
Guglielmo,13,"""in recognition of their contributions to the development of wireless telegraphy""",2,Marconi,1909,male,physics
Karl Ferdinand,14,"""in recognition of their contributions to the development of wireless telegraphy""",2,Braun,1909,male,physics
Gabriel,12,"""for his method of reproducing colours photographically based on the phenomenon of interference""",1,Lippmann,1908,male,physics
Albert Abraham,11,"""for his optical precision instruments and the spectroscopic and metrological investigations carried out with their aid""",1,Michelson,1907,male,physics
Joseph John,10,"""in recognition of the great merits of his theoretical and experimental investigations on the conduction of electricity by gases""",1,Thomson,1906,male,physics
Philipp Eduard Anton,9,"""for his work on cathode rays""",1,von Lenard,1905,male,physics
Lord Rayleigh,8,"""for his investigations of the densities of the most important gases and for his discovery of argon in connection with these studies""",1,(John William Strutt),1904,male,physics
Antoine Henri,4,"""in recognition of the extraordinary services he has rendered by his discovery of spontaneous radioactivity""",2,Becquerel,1903,male,physics
Pierre,5,"""in recognition of the extraordinary services they have rendered by their joint researches on the radiation phenomena discovered by Professor Henri Becquerel""",4,Curie,1903,male,physics
Marie,6,"""in recognition of the extraordinary services they have rendered by their joint researches on the radiation phenomena discovered by Professor Henri Becquerel""",4,"Curie, née Sklodowska",1903,female,physics
Hendrik Antoon,2,"""in recognition of the extraordinary service they rendered by their researches into the influence of magnetism upon radiation phenomena""",2,Lorentz,1902,male,physics
Pieter,3,"""in recognition of the extraordinary service they rendered by their researches into the influence of magnetism upon radiation phenomena""",2,Zeeman,1902,male,physics
Wilhelm Conrad,1,"""in recognition of the extraordinary services he has rendered by the discovery of the remarkable rays subsequently named after him""",1,Röntgen,1901,male,physics
National Dialogue Quartet,925,"""for its decisive contribution to the building of a pluralistic democracy in Tunisia in the wake of the Jasmine Revolution of 2011""",1,,2015,org,peace
Kailash,913,"""for their struggle against the suppression of children and young people and for the right of all children to education""",2,Satyarthi,2014,male,peace
Malala,914,"""for their struggle against the suppression of children and young people and for the right of all children to education""",2,Yousafzai,2014,female,peace
Organisation for the Prohibition of Chemical Weapons (OPCW),893,"""for its extensive efforts to eliminate chemical weapons""",1,,2013,org,peace
European Union (EU),881,"""for over six decades contributed to the advancement of peace and reconciliation, democracy and human rights in Europe""",1,,2012,org,peace
Ellen,869,"""for their non-violent struggle for the safety of women and for women&apos;s rights to full participation in peace-building work""",3,Johnson Sirleaf,2011,female,peace
Leymah,870,"""for their non-violent struggle for the safety of women and for women&apos;s rights to full participation in peace-building work""",3,Gbowee,2011,female,peace
Tawakkol,871,"""for their non-violent struggle for the safety of women and for women&apos;s rights to full participation in peace-building work""",3,Karman,2011,female,peace
Liu,855,"""for his long and non-violent struggle for fundamental human rights in China""",1,Xiaobo,2010,male,peace
Barack H.,845,"""for his extraordinary efforts to strengthen international diplomacy and cooperation between peoples""",1,Obama,2009,male,peace
Martti,833,"""for his important efforts, on several continents and over more than three decades, to resolve international conflicts""",1,Ahtisaari,2008,male,peace
Intergovernmental Panel on Climate Change (IPCC),818,"""for their efforts to build up and disseminate greater knowledge about man-made climate change, and to lay the foundations for the measures that are needed to counteract such change""",2,,2007,org,peace
Albert Arnold (Al),819,"""for their efforts to build up and disseminate greater knowledge about man-made climate change, and to lay the foundations for the measures that are needed to counteract such change""",2,Gore Jr.,2007,male,peace
Muhammad,809,"""for their efforts to create economic and social development from below""",2,Yunus,2006,male,peace
Grameen Bank,810,"""for their efforts to create economic and social development from below""",2,,2006,org,peace
International Atomic Energy Agency (IAEA),797,"""for their efforts to prevent nuclear energy from being used for military purposes and to ensure that nuclear energy for peaceful purposes is used in the safest possible way""",2,,2005,org,peace
Mohamed,798,"""for their efforts to prevent nuclear energy from being used for military purposes and to ensure that nuclear energy for peaceful purposes is used in the safest possible way""",2,ElBaradei,2005,male,peace
Wangari Muta,783,"""for her contribution to sustainable development, democracy and peace""",1,Maathai,2004,female,peace
Shirin,773,"""for her efforts for democracy and human rights. She has focused especially on the struggle for the rights of women and children""",1,Ebadi,2003,female,peace
Jimmy,762,"""for his decades of untiring effort to find peaceful solutions to international conflicts, to advance democracy and human rights, and to promote economic and social development""",1,Carter,2002,male,peace
United Nations (U.N.),748,"""for their work for a better organized and more peaceful world""",2,,2001,org,peace
Kofi,749,"""for their work for a better organized and more peaceful world""",2,Annan,2001,male,peace
Kim,725,"""for his work for democracy and human rights in South Korea and in East Asia in general, and for peace and reconciliation with North Korea in particular""",1,Dae-jung,2000,male,peace
Médecins Sans Frontières,568,"""in recognition of the organization's pioneering humanitarian work on several continents""",1,,1999,org,peace
John,566,"""for their efforts to find a peaceful solution to the conflict in Northern Ireland""",2,Hume,1998,male,peace
David,567,"""for their efforts to find a peaceful solution to the conflict in Northern Ireland""",2,Trimble,1998,male,peace
International Campaign to Ban Landmines (ICBL),564,"""for their work for the banning and clearing of anti-personnel mines""",2,,1997,org,peace
Jody,565,"""for their work for the banning and clearing of anti-personnel mines""",2,Williams,1997,female,peace
Carlos Filipe Ximenes,562,"""for their work towards a just and peaceful solution to the conflict in East Timor""",2,Belo,1996,male,peace
José,563,"""for their work towards a just and peaceful solution to the conflict in East Timor""",2,Ramos-Horta,1996,male,peace
Joseph,560,"""for their efforts to diminish the part played by nuclear arms in international politics and, in the longer run, to eliminate such arms""",2,Rotblat,1995,male,peace
Pugwash Conferences on Science and World Affairs,561,"""for their efforts to diminish the part played by nuclear arms in international politics and, in the longer run, to eliminate such arms""",2,,1995,org,peace
Yasser,557,"""for their efforts to create peace in the Middle East""",3,Arafat,1994,male,peace
Shimon,558,"""for their efforts to create peace in the Middle East""",3,Peres,1994,male,peace
Yitzhak,559,"""for their efforts to create peace in the Middle East""",3,Rabin,1994,male,peace
Nelson,555,"""for their work for the peaceful termination of the apartheid regime, and for laying the foundations for a new democratic South Africa""",2,Mandela,1993,male,peace
Frederik Willem,556,"""for their work for the peaceful termination of the apartheid regime, and for laying the foundations for a new democratic South Africa""",2,de Klerk,1993,male,peace
